,lemmatized
 ensure proper operation electromechanical avionic equipment f aircraft achieve unit perform maintenance repair procedure unit 
 promote selfsupervise role month perform duty supervision 
 datum technician 
 production advantage williston vt december june 
 lead weekly monthly annual financial analysis report business unit 
 operating procedure user change sql backend business erp system 
 design build sql database architecture c frontend inhouse custom software solution manage product group pricing update 
 contractor 
 resource system group inc white river junction vt october december 
 aid sound analysis wind turbine farm surveying shadow acoustic engineer determine noise output trend help client develop wind turbine installation standard good practice 
 web survey programmer 
 resource system group inc white river junction vt august october create online state transportation research survey inhouse web api technology 
 sql query optimization oversized database wind turbine research datum 
 professional 
 uvm college medicine winooski vt september 
 manage analytic report medical research datum research fellow design create c fullstack application universal storage model research project 
 
 ensure proper operation medical sample analysis equipment networking capability 
 database project developer 
 csl software solution burlington vt july 
 manage work primary client fulfil software development lifecycle phase fullstack application c net asp net frontend technology 
 build test custom analytic software solution client inhouse api tool regularly perform edit api tool involve xml javascript technology 
 education 
 apprentice avionic 
 community college air force wichita fall tx 
 apprentice avionic electrical principle 
 community college air force wichita fall tx 
 minor computer science 
 university vermont burlington vt 
 bs apply mathematic 
 university vermont burlington vt 
 military service 
 service country branch air national guard rank e 
 february present 
 additional information 
 want data scientist start build portfolio mathematic graduate study begin subject math gre currently prepare exam practice book continue education open course ware mit take calculus course strengthen basis highlevel algebra statistic course course load aid prepare exam introduce data science technology like r python language current goal wellpractice exam handle practice exam timeefficient manner score percentile familiar datum science know area exam relevant field determine area emphasize study pursue educational goal hope learn data science field professionally career stack development experience assist end drive learn lead data scientist professional future 
